crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,DS_Division,Avg_Household_Income,Unemployment_Rate,Building_Density,Road_Density,Land_Area_Density
burglary,common market complex,4/26/2020,f,sinhala,68,21:23:00,Rainy,7.291914333,80.63434849,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,436.5,sinhala,Gangawata Korale,104992,4.36,855.7,20.5,20.36
drugs,bogambara,4/27/2020,f,sinhala,41,1:38:00,Rainy,7.286070866,80.63534966,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,312.4,sinhala,Gangawata Korale,116765,4.51,630,17.1,13.58
vehicle theft,mada bowala angampitiya,4/27/2020,m,sinhala,42,12:25:00,Rainy,7.27292769,80.61061256,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,306.7,sinhala,Gangawata Korale,108039,4.39,797.1,24.6,17.07
drugs,nuwarawela ampitiya,4/29/2020,m,sinhala,35,9:49:00,Rainy,7.284562565,80.649989,Non-Holiday,0,General Urban,Ampitiya North,LK2130230,926,83.3,sinhala,Gangawata Korale,118502,4.67,719.3,18.6,12.95
robbery,nagasthanne,4/29/2020,m,sinhala,37,19:49:00,Rainy,7.27995872,80.63325845,Non-Holiday,0,General Urban,Nagasthenna,LK2130155,13921,446.3,sinhala,Gangawata Korale,107447,4.31,433.6,17.8,5.14
burglary,welikanda,5/3/2020,m,sinhala,36,23:08:00,Rainy,7.306233869,80.63328134,Non-Holiday,0,General Urban,Poorna Watta East,LK2130075,17005,218.6,sinhala,Gangawata Korale,116154,4.57,1098,20.5,15.42
theft,aniwatte,5/4/2020,m,sinhala,51,6:40:00,Rainy,7.29284517,80.62399389,Non-Holiday,0,General Urban,Bahirawa Kanda,LK2130090,1508,341.2,sinhala,Gangawata Korale,113296,4.31,982,22.7,15.78
stabbing,new queens hotel,5/10/2020,m,sinhala,76,6:27:00,Rainy,7.292765368,80.63820927,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,462.2,sinhala,Gangawata Korale,104792,4.68,730.7,13.9,19.19
robbery,police station,5/10/2020,f,tamil,34,12:46:00,Rainy,7.292388214,80.63326348,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,306.2,tamil,Gangawata Korale,117555,4.43,835.3,22.1,19.63
vehicle theft,sirimawo bandaranayake lane,5/12/2020,m,sinhala,63,2:05:00,Rainy,7.268956142,80.59544608,Non-Holiday,0,Commercial,Getambe,LK2130180,5235,384.6,sinhala,Gangawata Korale,123675,4.28,235.9,8.5,7.64
robbery,ampitiya town,5/18/2020,m,sinhala,30,22:48:00,Rainy,7.271883533,80.65971915,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,476.7,sinhala,Gangawata Korale,120462,4.39,122.4,9,2.65
stabbing,new queens hotel,5/21/2020,m,sinhala,76,22:01:00,Rainy,7.293796346,80.63661514,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,293.6,sinhala,Gangawata Korale,120913,4.52,808.5,16.2,20.6
stabbing,asgiriya stadium,5/23/2020,f,sinhala,72,19:52:00,Rainy,7.297878411,80.63292013,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,395,sinhala,Gangawata Korale,106937,4.68,1143.9,18.7,18.02
robbery,katugasthota road,5/24/2020,m,sinhala,47,7:35:00,Rainy,7.315409441,80.63155084,Non-Holiday,0,General Urban,Nittawela,LK2130030,14729,304.6,sinhala,Gangawata Korale,111784,4.59,1091.6,19.6,17.25
vehicle theft,kandy city centre,5/25/2020,m,sinhala,31,23:40:00,Rainy,7.29063962,80.63848246,Eid al-Fitr,1,Commercial,Boowelikada,LK2130135,2310,675.6,sinhala,Gangawata Korale,118379,4.66,790.7,18.2,16.51
theft,polgolla,5/30/2020,m,sinhala,29,12:13:00,Cloudy,7.315958383,80.65113675,Non-Holiday,0,General Urban,Pallegunnepana North,LK2127175,15562,265.2,sinhala,Kundasale,81858,5.4,126.3,11.3,2.15
stabbing,dharmapala road lewella,5/31/2020,f,sinhala,46,1:50:00,Rainy,7.299467975,80.64890212,Non-Holiday,0,General Urban,Lewella,LK2130125,11008,316,sinhala,Gangawata Korale,108842,4.49,386.4,13.5,8.7
stabbing,lewella bangalaawatte,6/4/2020,m,sinhala,30,15:22:00,Cloudy,7.298476135,80.6523788,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,408.4,sinhala,Gangawata Korale,106835,4.29,679.7,16.7,12.2
theft,watapuluwa,6/5/2020,m,sinhala,29,4:36:00,Rainy,7.316850735,80.64169782,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,262.8,sinhala,Gangawata Korale,113103,4.39,1080.2,24.3,16.69
theft,hanthane town,6/6/2020,m,sinhala,23,14:04:00,Rainy,7.268407584,80.63492494,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,572.4,sinhala,Gangawata Korale,106202,4.67,96.9,9.3,1.44
burglary,suduhumpola,6/6/2020,m,sinhala,50,20:11:00,Rainy,7.282480124,80.62603807,Non-Holiday,0,General Urban,Suduhumpala East,LK2130160,18807,53.9,sinhala,Gangawata Korale,120912,4.58,1423.2,19,19.9
burglary,lake house hotel,6/7/2020,m,sinhala,24,16:33:00,Rainy,7.266464984,80.59573768,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,654.5,sinhala,Gangawata Korale,124355,4.29,338,8.3,13.02
theft,heerassagala,6/8/2020,m,tamil,55,17:34:00,Rainy,7.261911526,80.6177223,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,300.5,tamil,Gangawata Korale,110601,4.6,228.3,22.5,4.09
burglary,thalathuoya road,6/9/2020,m,sinhala,30,15:13:00,Rainy,7.2496133,80.68345025,Non-Holiday,0,General Urban,Hippola,LK2145035,6481,329.5,sinhala,Pathahewaheta,57398,7.05,33.2,4.7,0.35
burglary,2nd rajasinghe lane,6/10/2020,m,sinhala,47,8:49:00,Rainy,7.292218943,80.63496326,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,483.9,sinhala,Gangawata Korale,115135,4.53,878.7,20,21.07
burglary,gatambe bridge,6/15/2020,f,sinhala,56,5:09:00,Rainy,7.273163504,80.60572803,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,807.5,sinhala,Gangawata Korale,105044,4.64,391.5,12,10.29
burglary,yatinuwara street,6/15/2020,m,sinhala,39,23:31:00,Rainy,7.295373499,80.63536816,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,144.9,sinhala,Gangawata Korale,124609,4.32,950.1,19.1,21.97
vehicle theft,nuwarawela ampitiya,6/18/2020,m,sinhala,36,12:14:00,Rainy,7.288423682,80.6502437,Non-Holiday,0,General Urban,Ampitiya North,LK2130230,926,360.4,sinhala,Gangawata Korale,119385,4.48,544.5,23.2,10.72
burglary,2nd rajasinghe lane,6/20/2020,m,sinhala,28,5:33:00,Rainy,7.290602403,80.63312802,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,337.4,sinhala,Gangawata Korale,113833,4.64,850.6,21.6,21.41
drugs,rajapihilla road,6/20/2020,m,sinhala,42,22:19:00,Rainy,7.288774802,80.64076648,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,649.9,sinhala,Gangawata Korale,116710,4.37,640.2,16.2,13.37
robbery,ogastawatte,6/28/2020,m,sinhala,25,22:52:00,Rainy,7.288992667,80.63569583,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,341,sinhala,Gangawata Korale,120304,4.55,734.6,18.7,17.95
theft,bogambara official police stayhouse,6/29/2020,m,sinhala,34,9:50:00,Rainy,7.288545164,80.6363886,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,393.8,sinhala,Gangawata Korale,114454,4.66,716.7,19.1,16.25
drugs,train station,6/29/2020,m,sinhala,34,19:45:00,Rainy,7.291764269,80.63561357,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,519.3,sinhala,Gangawata Korale,122916,4.56,879.9,19.8,20.49
burglary,peradeniya road,7/3/2020,m,sinhala,30,6:11:00,Rainy,7.283220179,80.6201731,Non-Holiday,0,General Urban,Katukele West,LK2130105,8913,303.1,sinhala,Gangawata Korale,106905,4.42,933.5,28.5,20.46
burglary,peradeniya road,7/5/2020,m,sinhala,30,2:30:00,Rainy,7.281209918,80.62274206,Vesak Full Moon Poya Day,1,General Urban,Suduhumpala West,LK2130165,18808,42.9,sinhala,Gangawata Korale,121454,4.47,945,24.1,16.91
robbery,hewaheta road,7/5/2020,f,sinhala,74,21:34:00,Rainy,7.292867293,80.64757378,Vesak Full Moon Poya Day,1,General Urban,Thalwatta,LK2130130,19105,420.9,sinhala,Gangawata Korale,107767,4.39,395.3,15.5,7.73
